,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
players,Tristan,Thompson,C,27,205.74,238,5,76,1.4,2.5,0.642,8.8,0.529,0,0,4,100,6.2,39,2,75,79,0.7,0.4,90,IH,,,
players,Marquese,Chriss,PF,21,208.28,233,5,64,0.9,1.4,0.684,3.3,0.641,2.1,0.263,1.2,17,3,60,0.6,75,97,0.6,0.3,85,,,,
players,Cedi,Osman,SF,23,207,215,5,68,1.5,2.4,0.779,6.2,0.489,4.9,0.348,0.6,20,4.1,57,2.6,80,80,0.8,0.1,70,IH,,,
players,David,Nwaba,SG,26,193,220,5,73,0.6,1.7,0.682,3.7,0.545,1.5,0.32,0.8,12,2.4,70,1.1,80,73,0.7,0.3,80,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Justin,Jackson,SF,23,203,210,6,64,0.2,1,0.724,3.6,0.577,3,0.372,0.7,18,1.6,48,1,80,80,0.3,0,75,,,,
players,J.J.,Barea,PG,34,182.88,185,6,56,1.9,2.1,0.705,6.8,0.479,3.4,0.297,0.3,21,2.2,60,5.6,70,58,0.6,0,45,,,,
players,Kristaps,Porzingis,PF,22,220.98,240,6,70,1.9,5.7,0.783,13.8,0.454,4.8,0.395,1.3,100,5.3,55,1.2,75,91,0.8,2.4,85,IH,,,
players,Maxi,Kleber,PF,27,213.36,260,6,77,0.8,1,0.784,2.4,0.583,3.1,0.353,1.3,26,3.4,25,1,75,58,0.5,1.1,52,IH,,,
players,Nicolas,Brussino,SG,28,201,215,6,63,0.4,0.5,0.789,0.8,0.573,2.2,0.429,0.2,16,1.3,40,0.5,70,85,0.1,0.1,65,R,,,
players,Courtney,Lee,SG,33,195.58,200,6,52,0.4,0.3,0.714,2,0.488,1.8,0.282,0.1,26,1.1,45,1,60,61,0.6,0,68,,,,
players,Jalen,Brunson,PG,22,190,190,6,43,1.2,1.6,0.725,5.3,0.523,2.5,0.348,0.3,15,2,64,3.2,70,85,0.5,0.1,75,R,,,
players,Dorian,Finney-Smith,SF,25,203.2,220,6,70,0.9,1.3,0.709,3.4,0.544,3.1,0.311,1.7,16,3.1,50,1.2,70,85,0.9,0.4,81,,,,
players,Kostas,Antetokounmpo,PF,21,208,200,6,72,1.9,4.5,0.685,6,0.55,1,0.244,1.9,15,4.3,63,0.8,70,90,1,1.3,60,R,,,
players,Devin,Harris,PG,35,190.5,192,6,62,0.8,2,0.761,2.2,0.476,2.9,0.31,0.2,16,1.5,46,1.8,70,55,0.5,0.2,59,,,,
players,Dirk,Nowitzki,PF,40,213.6,245,6,56,0.4,1,0.78,3.4,0.415,4,0.312,0.1,74,3,45,0.7,84,64,0.2,0.4,60,HF,,,
players,Salah,Mejri,C,32,218.44,245,6,80,0.6,0.9,0.625,2.2,0.564,0.9,0.324,1,24,2.6,25,1,65,64,0.3,0.7,76,,,,
players,Tim,Hardaway Jr.,SG,26,198.12,205,6,63,1.3,2.3,0.767,6.7,0.496,7.4,0.321,0.4,21,2.8,54,1.9,70,82,0.6,0.1,89,EX,,,
players,Dwight,Powell,C,27,210.82,240,6,84,0.9,3.3,0.772,4.7,0.699,1.6,0.307,1.8,16,3.5,40,1.5,80,79,0.6,0.6,78,,,,
Rookies,Luka,Doncic,SG,19,200.7,220,6,70,3.4,6.7,0.713,9.3,0.503,7.1,0.327,1.2,100,7.6,62,6,91,98,1.1,0.3,80,R,,,
players,Trey,Burke,PG,26,185.42,191,6,52,0.8,2,0.837,4.7,0.53,2.9,0.356,0.5,17,1,70,2.6,70,82,0.5,0.1,91,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Trey,Lyles,PF,23,208.28,234,7,69,1.1,1.8,0.698,4.6,0.529,3.1,0.418,0.7,18,3.2,35,1.4,70,91,0.5,0.4,69,,,,
players,Will,Barton,SG,28,198.12,175,7,68,1.5,4.6,0.77,6.1,0.447,4.6,0.342,0.7,17,3.9,68,2.9,80,76,0.4,0.5,73,,,,
players,Malik,Beasley,SG,22,195.58,196,7,60,0.7,0.8,0.848,4.1,0.56,5,0.402,0.4,17,2,66,1.2,80,94,0.7,0.1,68,,,,
players,Torrey,Craig,SF,28,201,215,7,70,0.6,0.9,0.7,2.3,0.569,2.5,0.324,1.2,19,2.3,55,1,70,67,0.5,0.6,73,,,,
players,Jarred,Vanderbilt,PF,19,106,214,7,78,0.5,0.6,0.6,1.1,0.5,0.1,0,0.4,24,0.9,45,0.2,90,90,0.4,0.1,70,,,,
